,word,Spanish-es,emotion,emotion-intensity-score
0,outraged,indignado,anger,0.9640000000000001
1,brutality,brutalidad,anger,0.9590000000000001
2,hatred,odio,anger,0.953
3,hateful,odioso,anger,0.94
4,terrorize,aterrorizar,anger,0.9390000000000001
5,violently,violentamente,anger,0.938
6,infuriated,enfurecido,anger,0.938
7,furious,furioso,anger,0.929
8,enraged,enfurecido,anger,0.927
9,furiously,furiosamente,anger,0.927
10,screwyou,NO TRANSLATION,anger,0.924
11,murderer,asesino,anger,0.922
12,fury,furia,anger,0.922
13,execution,ejecuciÃ³n,anger,0.917
14,angered,enojado,anger,0.9159999999999999
15,savagery,salvajismo,anger,0.915
16,slaughtering,matanza,anger,0.914
17,veryangry,NO TRANSLATION,anger,0.9129999999999999
18,fuckoff,fuckoff,anger,0.912
19,annihilation,aniquilaciÃ³n,anger,0.912
20,assassinate,asesinar,anger,0.912
21,rage,rabia,anger,0.9109999999999999
22,loathe,detestar,anger,0.909
23,roadrage,NO TRANSLATION,anger,0.9059999999999999
24,damnation,condenaciÃ³n,anger,0.9059999999999999
25,fucktard,maldito,anger,0.9059999999999999
26,homicidal,homicida,anger,0.9059999999999999
27,furor,furor,anger,0.9
28,hostile,hostil,anger,0.898
29,annihilate,aniquilar,anger,0.898
30,murder,asesinato,anger,0.897
31,raging,furioso,anger,0.8959999999999999
32,vengeful,vengativo,anger,0.894
33,rape,violaciÃ³n,anger,0.894
34,ferocious,feroz,anger,0.894
35,pissed,Molesto,anger,0.894
36,obliterated,borrado,anger,0.894
37,infuriates,enfurece,anger,0.894
38,sopissed,NO TRANSLATION,anger,0.894
39,explosive,explosivo,anger,0.894
40,killing,asesinato,anger,0.893
41,combative,combativo,anger,0.8909999999999999
42,gofuckyourself,gofuckyourself,anger,0.8859999999999999
43,vengeance,venganza,anger,0.8859999999999999
44,torment,tormento,anger,0.885
45,wrath,ira,anger,0.885
46,vicious,vicioso,anger,0.884
47,massacre,masacre,anger,0.882
48,threatening,amenazante,anger,0.882
49,pissoff,pissoff,anger,0.875
50,abhorrent,aborrecible,anger,0.875
51,bloodthirsty,sanguinario,anger,0.875
52,fighting,lucha,anger,0.868
53,annihilated,aniquilado,anger,0.865
54,attacking,agresor,anger,0.865
55,angriest,enojado,anger,0.8640000000000001
56,bloodshed,matanza,anger,0.8640000000000001
57,smite,herir,anger,0.862
58,brawl,pelearse,anger,0.861
59,assault,asalto,anger,0.8590000000000001
60,malicious,malicioso,anger,0.8590000000000001
61,strangle,estrangular,anger,0.8590000000000001
62,tirade,diatriba,anger,0.8590000000000001
63,explode,explotar,anger,0.8590000000000001
64,assassination,asesinato,anger,0.8590000000000001
65,hostility,hostilidad,anger,0.8590000000000001
66,loathsome,repugnante,anger,0.857
67,hell,infierno,anger,0.853
68,murderous,asesino,anger,0.853
69,attack,ataque,anger,0.853
70,malice,NO TRANSLATION,anger,0.852
71,terrorism,terrorismo,anger,0.851
72,beating,paliza,anger,0.8490000000000001
73,desecration,profanaciÃ³n,anger,0.848
74,pissingmeoff,pissingmeoff,anger,0.848
75,outrage,atropello,anger,0.848
76,stab,puÃ±alada,anger,0.8440000000000001
77,slaughter,sacrificio,anger,0.8440000000000001
78,violent,violento,anger,0.8440000000000001
79,destroying,destruyendo,anger,0.8440000000000001
80,abomination,abominaciÃ³n,anger,0.8440000000000001
81,tumultuous,tumultuoso,anger,0.8440000000000001
82,irate,airado,anger,0.8440000000000001
83,infuriate,enfurecer,anger,0.8440000000000001
84,obliterate,obliterar,anger,0.843
85,belligerent,beligerante,anger,0.841
86,dumbbitch,NO TRANSLATION,anger,0.841
87,detest,detestar,anger,0.838
88,hostilities,hostilidades,anger,0.8370000000000001
89,prick,pinchazo,anger,0.835
90,torture,tortura,anger,0.833
91,rabid,rabioso,anger,0.833
92,horrid,horrible,anger,0.833
93,rampage,alboroto,anger,0.833
94,cruelty,crueldad,anger,0.833
95,hate,odio,anger,0.828
96,demonic,demonÃ­aco,anger,0.828
97,hating,odiando,anger,0.828
98,satanic,satÃ¡nico,anger,0.828
99,tyrannical,tirÃ¡nico,anger,0.828
100,ragemode,modo furia,anger,0.828
101,despicable,despreciable,anger,0.828
102,ruinous,ruinoso,anger,0.825
103,condemn,condenar,anger,0.825
104,riots,disturbios,anger,0.8240000000000001
105,demolish,demoler,anger,0.8240000000000001
106,angry,enojado,anger,0.8240000000000001
107,extermination,exterminio,anger,0.8240000000000001
108,dickhead,gilipollas,anger,0.8240000000000001
109,livid,lÃ­vido,anger,0.821
110,madman,loco,anger,0.82
111,vindictive,vengativo,anger,0.8190000000000001
112,hateyou,NO TRANSLATION,anger,0.818
113,ferocity,ferocidad,anger,0.818
114,venomous,venenoso,anger,0.818
115,threaten,amenazar,anger,0.818
116,effyou,NO TRANSLATION,anger,0.818
117,terrorist,terrorista,anger,0.818
118,abhor,aborrecer,anger,0.816
119,savage,salvaje,anger,0.8140000000000001
120,atrocity,atrocidad,anger,0.8140000000000001
121,carnage,carnicerÃ­a,anger,0.8140000000000001
122,berserk,enloquecido,anger,0.812
123,angrytweet,NO TRANSLATION,anger,0.812
124,abuse,abuso,anger,0.812
125,tyrant,tirano,anger,0.812
126,fucksake,fucksake,anger,0.812
127,pissedoff,enfadado,anger,0.812
128,vendetta,vendetta,anger,0.812
129,fierce,feroz,anger,0.812
130,destroyer,destructor,anger,0.812
131,pissesmeoff,me enoja,anger,0.812
132,fuming,echando humo,anger,0.812
133,barbaric,bÃ¡rbaro,anger,0.812
134,anger,enfado,anger,0.8109999999999999
135,pieceofshit,pedazo de mierda,anger,0.81
136,slam,golpe,anger,0.8029999999999999
137,fights,peleas,anger,0.8029999999999999
138,punched,perforado,anger,0.8029999999999999
139,bitch,perra,anger,0.8029999999999999
140,punching,puÃ±etazos,anger,0.8029999999999999
141,homicide,homicidio,anger,0.8029999999999999
142,destructive,destructivo,anger,0.797
143,ruthless,implacable,anger,0.797
144,villainous,villano,anger,0.797
145,slap,bofetada,anger,0.7909999999999999
146,slaughterhouse,matadero,anger,0.7879999999999999
147,punishing,agotador,anger,0.7879999999999999
148,destroyed,destruido,anger,0.7879999999999999
149,retaliatory,vengativo,anger,0.7879999999999999
150,riot,alboroto,anger,0.7879999999999999
151,ragetweet,NO TRANSLATION,anger,0.7879999999999999
152,yelling,gritante,anger,0.7879999999999999
153,growthefuckup,growthefuckup,anger,0.7879999999999999
154,diabolical,diabÃ³lico,anger,0.7879999999999999
155,manslaughter,homicidio involuntario,anger,0.7829999999999999
156,clash,choque,anger,0.7829999999999999
157,bloody,sangriento,anger,0.7809999999999999
158,hellish,infernal,anger,0.7809999999999999
159,loath,poco dispuesto,anger,0.7809999999999999
160,detonation,detonaciÃ³n,anger,0.7809999999999999
161,quarrel,pelea,anger,0.7809999999999999
162,sinister,siniestro,anger,0.7809999999999999
163,fumin,NO TRANSLATION,anger,0.779
164,accusing,acusando,anger,0.779
165,treacherous,traicionero,anger,0.779
166,hateeee,NO TRANSLATION,anger,0.779
167,retaliate,tomar represalias,anger,0.773
168,revulsion,repugnancia,anger,0.773
169,madder,rubia,anger,0.773
170,horrific,horrendo,anger,0.773
171,scorn,desdÃ©n,anger,0.769
172,deplorable,deplorable,anger,0.7659999999999999
173,bomb,bomba,anger,0.7659999999999999
174,anarchist,anarquista,anger,0.765
175,devastation,devastaciÃ³n,anger,0.765
176,resent,resentirse de,anger,0.765
177,firestorm,tormenta de fuego,anger,0.765
178,contemptible,despreciable,anger,0.764
179,shittest,NO TRANSLATION,anger,0.76
180,cruel,cruel,anger,0.758
181,soangry,NO TRANSLATION,anger,0.758
182,deadly,mortal,anger,0.758
183,smash,aplastar,anger,0.758
184,rant,despotricar,anger,0.758
185,outburst,explosiÃ³n,anger,0.757
186,snarl,gruÃ±ido,anger,0.754
187,profane,profano,anger,0.75
188,offend,ofender,anger,0.75
189,douchebags,douchebags,anger,0.75
190,growling,gruÃ±ir,anger,0.75
191,stfu,stfu,anger,0.75
